# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 53.479, -2.245 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060
# Units: time in UTC, local_time in Europe/London, electricity in kW, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC
# {"units": {"time": "UTC", "local_time": "Europe/London", "electricity": "kW", "irradiance_direct": "unknown", "irradiance_diffuse": "unknown", "temperature": "\u00baC"}, "params": {"local_time": "true", "header": "true", "lat": "53.4794892", "lon": "-2.2451148", "date_from": "2019-01-01", "date_to": "2019-12-31", "dataset": "merra2", "capacity": "1", "system_loss": "0.1", "tracking": "0", "tilt": "35", "azim": "180", "raw": "true"}}
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature
2019-01-01 00:00,2019-01-01 00:00,0,0,0,7.408
2019-01-01 01:00,2019-01-01 01:00,0,0,0,7.524
2019-01-01 02:00,2019-01-01 02:00,0,0,0,7.620
2019-01-01 03:00,2019-01-01 03:00,0,0,0,7.704
2019-01-01 04:00,2019-01-01 04:00,0,0,0,7.745
2019-01-01 05:00,2019-01-01 05:00,0,0,0,7.710
2019-01-01 06:00,2019-01-01 06:00,0,0,0,7.366
2019-01-01 07:00,2019-01-01 07:00,0,0,0,6.537
2019-01-01 08:00,2019-01-01 08:00,0.004,0.007,0.005,5.826
2019-01-01 09:00,2019-01-01 09:00,0.106,0.086,0.040,5.876
2019-01-01 10:00,2019-01-01 10:00,0.255,0.220,0.063,6.085
2019-01-01 11:00,2019-01-01 11:00,0.413,0.399,0.062,6.395
2019-01-01 12:00,2019-01-01 12:00,0.429,0.420,0.060,6.628
2019-01-01 13:00,2019-01-01 13:00,0.369,0.354,0.056,6.550
2019-01-01 14:00,2019-01-01 14:00,0.223,0.203,0.046,5.860
2019-01-01 15:00,2019-01-01 15:00,0.049,0.051,0.014,3.719
2019-01-01 16:00,2019-01-01 16:00,0,0,0,2.308
2019-01-01 17:00,2019-01-01 17:00,0,0,0,1.731
2019-01-01 18:00,2019-01-01 18:00,0,0,0,1.166
2019-01-01 19:00,2019-01-01 19:00,0,0,0,0.631
2019-01-01 20:00,2019-01-01 20:00,0,0,0,0.005
2019-01-01 21:00,2019-01-01 21:00,0,0,0,-0.614
2019-01-01 22:00,2019-01-01 22:00,0,0,0,-1.135
2019-01-01 23:00,2019-01-01 23:00,0,0,0,-1.522
2019-01-02 00:00,2019-01-02 00:00,0,0,0,-1.791
2019-01-02 01:00,2019-01-02 01:00,0,0,0,-1.963
2019-01-02 02:00,2019-01-02 02:00,0,0,0,-2.025
2019-01-02 03:00,2019-01-02 03:00,0,0,0,-2.015
2019-01-02 04:00,2019-01-02 04:00,0,0,0,-1.971
2019-01-02 05:00,2019-01-02 05:00,0,0,0,-1.834
2019-01-02 06:00,2019-01-02 06:00,0,0,0,-1.729
2019-01-02 07:00,2019-01-02 07:00,0,0,0,-1.654
2019-01-02 08:00,2019-01-02 08:00,0.005,0.008,0.005,-1.468
2019-01-02 09:00,2019-01-02 09:00,0.111,0.085,0.042,-0.104
2019-01-02 10:00,2019-01-02 10:00,0.230,0.181,0.070,1.262
2019-01-02 11:00,2019-01-02 11:00,0.289,0.231,0.083,2.003
2019-01-02 12:00,2019-01-02 12:00,0.283,0.221,0.087,2.590
2019-01-02 13:00,2019-01-02 13:00,0.203,0.146,0.079,2.831
2019-01-02 14:00,2019-01-02 14:00,0.104,0.069,0.053,2.342
2019-01-02 15:00,2019-01-02 15:00,0.018,0.018,0.013,1.494
2019-01-02 16:00,2019-01-02 16:00,0,0,0,0.988
2019-01-02 17:00,2019-01-02 17:00,0,0,0,0.779
2019-01-02 18:00,2019-01-02 18:00,0,0,0,0.859
2019-01-02 19:00,2019-01-02 19:00,0,0,0,0.982
2019-01-02 20:00,2019-01-02 20:00,0,0,0,0.857
2019-01-02 21:00,2019-01-02 21:00,0,0,0,0.515
2019-01-02 22:00,2019-01-02 22:00,0,0,0,0.016
2019-01-02 23:00,2019-01-02 23:00,0,0,0,-0.175
2019-01-03 00:00,2019-01-03 00:00,0,0,0,-0.420
2019-01-03 01:00,2019-01-03 01:00,0,0,0,-0.627
2019-01-03 02:00,2019-01-03 02:00,0,0,0,-0.639
2019-01-03 03:00,2019-01-03 03:00,0,0,0,-0.618
2019-01-03 04:00,2019-01-03 04:00,0,0,0,-0.630
2019-01-03 05:00,2019-01-03 05:00,0,0,0,-0.764
2019-01-03 06:00,2019-01-03 06:00,0,0,0,-1.020
2019-01-03 07:00,2019-01-03 07:00,0,0,0,-1.414
2019-01-03 08:00,2019-01-03 08:00,0.011,0.015,0.006,-1.542
2019-01-03 09:00,2019-01-03 09:00,0.199,0.179,0.038,-0.798
2019-01-03 10:00,2019-01-03 10:00,0.367,0.345,0.051,0.569
2019-01-03 11:00,2019-01-03 11:00,0.452,0.437,0.056,1.394
2019-01-03 12:00,2019-01-03 12:00,0.459,0.447,0.056,2.150
2019-01-03 13:00,2019-01-03 13:00,0.392,0.373,0.054,2.107
2019-01-03 14:00,2019-01-03 14:00,0.245,0.223,0.044,1.253
2019-01-03 15:00,2019-01-03 15:00,0.059,0.061,0.014,0.010
2019-01-03 16:00,2019-01-03 16:00,0,0,0,-0.745
2019-01-03 17:00,2019-01-03 17:00,0,0,0,-1.005
2019-01-03 18:00,2019-01-03 18:00,0,0,0,-1.343
2019-01-03 19:00,2019-01-03 19:00,0,0,0,-1.682
2019-01-03 20:00,2019-01-03 20:00,0,0,0,-2.101
2019-01-03 21:00,2019-01-03 21:00,0,0,0,-2.404
2019-01-03 22:00,2019-01-03 22:00,0,0,0,-2.491
2019-01-03 23:00,2019-01-03 23:00,0,0,0,-2.699
2019-01-04 00:00,2019-01-04 00:00,0,0,0,-2.777
2019-01-04 01:00,2019-01-04 01:00,0,0,0,-2.735
2019-01-04 02:00,2019-01-04 02:00,0,0,0,-2.611
2019-01-04 03:00,2019-01-04 03:00,0,0,0,-2.483
2019-01-04 04:00,2019-01-04 04:00,0,0,0,-2.440
2019-01-04 05:00,2019-01-04 05:00,0,0,0,-2.422
2019-01-04 06:00,2019-01-04 06:00,0,0,0,-2.309
2019-01-04 07:00,2019-01-04 07:00,0,0,0,-2.204
2019-01-04 08:00,2019-01-04 08:00,0.007,0.011,0.006,-1.922
